historico_id,chamado_id,atendente_id,data_atendimento,descricao,historico_texto
1,1,6,2023-08-18,Informações sobre cobertura em nova localidade,Verificada disponibilidade de serviço no endereço informado
2,2,8,2024-08-11,Dúvidas sobre prazo de instalação,Verificado cronograma de instalações e disponibilidade de equipe
3,3,8,2024-09-03,Solicitação de aumento temporário de velocidade,Verificada disponibilidade técnica para upgrade
4,4,6,2024-08-21,Informações sobre cobertura em nova localidade,Verificada disponibilidade de serviço no endereço informado
5,5,2,2022-12-15,Cliente relata lentidão na conexão,Realizado teste de velocidade e orientado a reiniciar o roteador
6,6,3,2024-03-22,Solicitação de segunda via de fatura,Verificado sistema de faturamento e gerada segunda via
7,7,1,2024-09-03,Dúvidas sobre prazo de instalação,Verificado cronograma de instalações e disponibilidade de equipe
8,8,5,2024-09-03,Sem conexão à internet,Verificado status do sinal e realizado diagnóstico remoto
9,9,7,2024-03-29,Solicitação de proposta para condomínio,Coletadas informações sobre o condomínio e suas necessidades
10,10,9,2023-11-19,Lentidão em serviços de streaming,Realizado teste de velocidade e verificada qualidade do sinal
11,11,7,2024-09-03,Solicitação de aumento temporário de velocidade,Verificada disponibilidade técnica para upgrade
12,12,2,2024-09-03,Interesse em upgrade de plano,Apresentadas opções de planos superiores e seus benefícios
13,13,7,2023-11-26,Dúvidas sobre fatura mensal,Explicado detalhamento dos serviços cobrados
14,14,6,2024-05-25,Solicitação de suporte para instalação de câmeras IP,Explicado processo de configuração e redirecionamento de portas
15,15,4,2023-08-24,Dúvidas sobre cobrança pro-rata na instalação,Detalhado cálculo pro-rata para o primeiro mês de serviço
16,16,4,2024-09-03,Dúvidas sobre pacote combo (internet + TV),Detalhados canais inclusos e vantagens do combo
17,17,6,2024-04-26,Interesse em serviços de cloud para empresa,Apresentadas soluções de cloud computing e backup
18,18,3,2023-09-02,Informações sobre multa e juros por atraso,Explicada política de cobrança de multas e juros
19,19,3,2023-07-31,Solicitação de cancelamento de serviço,Investigados motivos e oferecidas alternativas para retenção
20,20,5,2024-06-27,Dúvidas sobre pacote combo (internet + TV),Detalhados canais inclusos e vantagens do combo
21,21,2,2024-04-17,Interesse em serviço de IP fixo,Apresentados benefícios e custos adicionais do IP fixo
22,22,9,2024-09-03,Sem conexão à internet,Verificado status do sinal e realizado diagnóstico remoto
23,23,1,2024-06-18,Dúvidas sobre fatura mensal,Explicado detalhamento dos serviços cobrados
24,24,7,2024-08-23,Solicitação de alteração de data de vencimento,Verificadas opções de datas disponíveis
25,25,4,2024-09-03,Solicitação de nota fiscal,Verificado status de emissão da nota fiscal
26,26,2,2024-01-17,Interesse em serviços de cloud para empresa,Apresentadas soluções de cloud computing e backup
27,27,3,2024-04-08,Informações sobre multa e juros por atraso,Explicada política de cobrança de multas e juros
28,28,4,2023-10-17,Solicitação de parcelamento de débitos,Apresentadas opções de parcelamento disponíveis
