chamado_id,cliente_id,data_abertura,data_fechamento,status,prioridade,categoria,descricao,resolucao
1,29,2023-08-18,2023-08-25,Fechado,Alta,Comercial,Informações sobre cobertura em nova localidade,Confirmada cobertura e agendada instalação para nova localidade
2,36,2024-08-11,2024-08-14,Em Andamento,Baixa,Comercial,Dúvidas sobre prazo de instalação,
3,13,2024-09-03,2024-09-08,Aberto,Alta,Suporte,Solicitação de aumento temporário de velocidade,
4,12,2024-08-21,,Em Andamento,Média,Comercial,Informações sobre cobertura em nova localidade,
5,17,2022-12-15,2022-12-19,Fechado,Média,Suporte,Cliente relata lentidão na conexão,Problema resolvido após reinicialização do equipamento
6,24,2024-03-22,2024-03-28,Em Andamento,Baixa,Financeiro,Solicitação de segunda via de fatura,
7,4,2024-09-03,2024-09-04,Em Andamento,Alta,Comercial,Dúvidas sobre prazo de instalação,
8,34,2024-09-03,2024-09-06,Fechado,Alta,Suporte,Sem conexão à internet,"Identificado problema na fibra, agendada visita técnica"
9,33,2024-03-29,2024-04-02,Aberto,Baixa,Comercial,Solicitação de proposta para condomínio,
10,18,2023-11-19,2023-11-25,Em Andamento,Alta,Suporte,Lentidão em serviços de streaming,
11,23,2024-09-03,2024-09-08,Aberto,Baixa,Suporte,Solicitação de aumento temporário de velocidade,
12,10,2024-09-03,2024-09-09,Em Andamento,Baixa,Comercial,Interesse em upgrade de plano,
13,39,2023-11-26,2023-12-01,Fechado,Média,Financeiro,Dúvidas sobre fatura mensal,Cliente compreendeu a fatura e confirmou o pagamento
14,1,2024-05-25,2024-05-26,Aberto,Alta,Suporte,Solicitação de suporte para instalação de câmeras IP,
15,17,2023-08-24,2023-08-25,Em Andamento,Baixa,Financeiro,Dúvidas sobre cobrança pro-rata na instalação,
16,44,2024-09-03,,Em Andamento,Alta,Comercial,Dúvidas sobre pacote combo (internet + TV),
17,14,2024-04-26,2024-04-30,Fechado,Baixa,Comercial,Interesse em serviços de cloud para empresa,Cliente solicitou proposta detalhada para avaliação interna
18,20,2023-09-02,2023-09-06,Fechado,Baixa,Financeiro,Informações sobre multa e juros por atraso,Cliente informado e orientado sobre prazos de pagamento
19,49,2023-07-31,,Em Andamento,Baixa,Comercial,Solicitação de cancelamento de serviço,
20,9,2024-06-27,2024-07-04,Fechado,Baixa,Comercial,Dúvidas sobre pacote combo (internet + TV),Cliente aderiu ao pacote combo com desconto promocional
21,1,2024-04-17,2024-04-23,Aberto,Média,Comercial,Interesse em serviço de IP fixo,
22,34,2024-09-03,2024-09-06,Em Andamento,Baixa,Suporte,Sem conexão à internet,
23,11,2024-06-18,2024-06-19,Em Andamento,Média,Financeiro,Dúvidas sobre fatura mensal,
24,21,2024-08-23,2024-08-25,Fechado,Média,Financeiro,Solicitação de alteração de data de vencimento,Alterada data de vencimento conforme solicitação do cliente
25,12,2024-09-03,2024-09-07,Fechado,Baixa,Financeiro,Solicitação de nota fiscal,
